,Unnamed: 0,Product_description,Key_ingredient,Food_group,m_sweet,m_sour,m_bitter,m_umami,m_salt,m_fat,fat_100g,carbs_100g,proteins_100g
56,56,Buttermilk,buttermilk,Milk and milk products,6,37,1,2,5,24,28.4,31.3,26.0
57,57,Walnuts unsalted,walnut,"Nuts, seeds and savoury snacks",5,1,12,6,2,22,22.6,41.2,15.0
58,58,Pretzel sticks,pretzel,"Nuts, seeds and savoury snacks",4,1,1,1,47,9,41.6,30.0,15.0
59,59,Peanuts salted,peanut,"Nuts, seeds and savoury snacks",8,1,2,7,40,45,10.1,1.2,16.0
60,60,Popcorn sweet puffed,popcorn,"Nuts, seeds and savoury snacks",43,2,1,1,8,21,28.0,46.9,11.6
61,61,Croquette meat ragout frozen unprep,croquette,"Nuts, seeds and savoury snacks",9,6,1,25,44,63,14.1,16.5,9.1
62,62,Honey,honey,"Sugar, sweets, and sweet toppings",76,1,3,0,4,29,38.0,49.0,6.1
63,63,Toffees,toffee,"Sugar, sweets, and sweet toppings",66,1,1,0,11,47,30.4,58.4,7.7
64,64,Jam reduced sugar,jam,"Sugar, sweets, and sweet toppings",58,19,1,0,4,26,14.0,8.9,6.1
65,65,Liquorice allsorts,liquorice,"Sugar, sweets, and sweet toppings",65,1,1,0,10,24,1.3,96.6,0.3
66,66,Mayonnaise,mayonnaise,"Fat, oils, and savory sauces",10,33,1,8,25,76,6.82,7.96,10.3
67,67,Peanut sauce jar prepared,sauce,"Fat, oils, and savory sauces",32,9,2,14,41,60,16.0,67.0,8.6
68,68,Pesto,pesto,"Fat, oils, and savory sauces",5,12,2,23,57,54,3.2666666666667,15.5,8.5666666666667
69,69,Cooking fat liq 97%fat <17g sat unsalted,cooking,"Fat, oils, and savory sauces",8,5,1,10,32,88,0.27,5.67,1.57
70,70,Shrimps Dutch peeled boiled,shrimp,Fish,8,4,1,31,33,31,1.8,71.4,12.4
71,71,Herring salted,herring,Fish,3,11,2,40,50,58,15.6,8.0,10.9
73,73,Cod boiled,cod,Fish,2,3,2,12,13,20,36.6,12.3,27.1
74,74,Salmon smoked,salmon,Fish,3,10,1,36,53,57,5.7,22.0,5.2
75,75,Mackerel fillet smoked,mackerel,Fish,3,8,1,44,42,52,13.0,2.3,13.6
76,76,Tuna in water tinned,tuna,Fish,4,16,2,22,25,19,1.2,0.1,18.0
77,77,Tilapia raw,tilapia,Fish,6,5,1,15,12,21,5.0,0.0,20.0
78,78,Duck whole raw,duck,"Meat, meat products and poultry",4,7,2,27,16,37,33.0,1.9,14.0
79,79,Ham smoked raw,ham,"Meat, meat products and poultry",3,4,1,27,65,57,9.5,6.5,4.0
